Crop,Crop_Year,Season,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Bajra,2019,Kharif,1870.0,1160,1593.9,321191.2,691.9,0.678
Castor seed,2019,Kharif,4510.0,2910,1593.9,774637.6,1668.7,0.909
Castor seed,2019,Rabi,2280.0,1510,1593.9,391612.8,843.6,0.701538462
Coriander,2019,Rabi,19980.0,13140,1593.9,3431764.8,7392.6,0.614666667
Cotton(lint),2019,Kharif,169560.0,578500,1593.9,29123625.6,62737.2,3.399166667
Cowpea(Lobia),2019,Kharif,40330.0,30010,1593.9,6927080.8,14922.1,0.730666667
Cowpea(Lobia),2019,Rabi,27980.0,20670,1593.9,4805844.8,10352.6,0.7432
Dry chillies,2019,Kharif,24910.0,23360,1593.9,4278541.6,9216.7,0.938666667
Dry chillies,2019,Rabi,50090.0,65410,1593.9,8603458.4,18533.3,1.374
Garlic,2019,Rabi,13500.0,49530,1593.9,2318760.0,4995.0,4.251428571
Ginger,2019,Kharif,17140.0,228840,1593.9,2943966.4,6341.8,13.45275862
Gram,2019,Rabi,27820.0,21670,1593.9,4778363.2,10293.4,0.799285714
Groundnut,2019,Autumn,9663.0,11486,1593.9,1659716.88,3575.31,1.357894737
Groundnut,2019,Summer,18352.0,41013,1593.9,3152139.52,6790.24,1.848076923
Groundnut,2019,Winter,1422.0,2262,1593.9,244242.72,526.14,1.509090909
Horse-gram,2019,Summer,36.0,23,1593.9,6183.36,13.32,0.63
Horse-gram,2019,Winter,22722.0,8999,1593.9,3902730.72,8407.14,0.400344828
Jowar,2019,Kharif,5810.0,3680,1593.9,997925.6,2149.7,0.648
Jute,2019,Autumn,147.0,319,1593.9,25248.72,54.39,1.94
Linseed,2019,Rabi,10170.0,5040,1593.9,1746799.2,3762.9,0.519230769
Maize,2019,Autumn,61041.0,175675,1593.9,10484402.16,22585.17,2.048181818
Maize,2019,Summer,3934.0,13113,1593.9,675703.84,1455.58,2.243
Maize,2019,Winter,95.0,226,1593.9,16317.2,35.15,2.48125
Masoor,2019,Rabi,9340.0,4940,1593.9,1604238.4,3455.8,0.535714286
Mesta,2019,Kharif,4690.0,23420,1593.9,805554.4,1735.3,4.85
Moong(Green Gram),2019,Autumn,10656.0,3144,1593.9,1830274.56,3942.72,0.370909091
Moong(Green Gram),2019,Summer,169358.0,57566,1593.9,29088930.08,62662.46,0.431538462
Moong(Green Gram),2019,Winter,60116.0,20003,1593.9,10325524.16,22242.92,0.386818182
Niger seed,2019,Winter,15898.0,5699,1593.9,2730640.48,5882.26,0.287
Onion,2019,Rabi,35120.0,437140,1593.9,6032211.2,12994.4,12.21413793
Other  Rabi pulses,2019,Rabi,77940.0,37960,1593.9,13386974.4,28837.8,0.465909091
Other Kharif pulses,2019,Kharif,80810.0,36040,1593.9,13879925.6,29899.7,0.44
Peas & beans (Pulses),2019,Rabi,33400.0,25620,1593.9,5736784.0,12358.0,0.77
Potato,2019,Winter,4397.0,46961,1593.9,755228.72,1626.89,11.34730769
Ragi,2019,Autumn,9588.0,7154,1593.9,1646834.88,3547.56,0.620833333
Ragi,2019,Summer,381.0,288,1593.9,65440.56,140.97,0.613333333
Ragi,2019,Winter,25919.0,18778,1593.9,4451847.44,9590.03,0.5725
Rapeseed &Mustard,2019,Winter,6952.0,2039,1593.9,1194075.52,2572.24,0.263333333
Rice,2019,Autumn,426080.0,769480,1593.9,73183500.8,157649.6,1.8825
Rice,2019,Summer,292610.0,932910,1593.9,50258693.6,108265.7,2.796896552
Rice,2019,Winter,3222020.0,8052660,1593.9,553414155.2,1192147.4,2.564666667
Safflower,2019,Rabi,300.0,180,1593.9,51528.0,111.0,0.623333333
Sannhamp,2019,Kharif,4880.0,25590,1593.9,838188.8,1805.6,4.954
Sesamum,2019,Autumn,1935.0,594,1593.9,332355.6,715.95,0.428333333
Sesamum,2019,Summer,2603.0,570,1593.9,447091.28,963.11,0.293333333
Sesamum,2019,Winter,9457.0,2914,1593.9,1624334.32,3499.09,0.2275
Small millets,2019,Kharif,32870.0,16990,1593.9,5645751.2,12161.9,0.498125
Sugarcane,2019,Winter,8948.0,504870,1593.9,1536908.48,3310.76,56.56238095
Sunflower,2019,Kharif,630.0,470,1593.9,108208.8,233.1,0.8275
Sunflower,2019,Rabi,15930.0,20480,1593.9,2736136.8,5894.1,1.288333333
Sweet potato,2019,Kharif,36270.0,350740,1593.9,6229735.2,13419.9,9.507666667
Sweet potato,2019,Rabi,6610.0,59200,1593.9,1135333.6,2445.7,8.970909091
Tobacco,2019,Rabi,130.0,90,1593.9,22328.8,48.1,0.69
Turmeric,2019,Kharif,30000.0,60000,1593.9,5152800.0,11100.0,2.274482759
Urad,2019,Autumn,10170.0,2986,1593.9,1746799.2,3762.9,0.318181818
Urad,2019,Summer,8522.0,3212,1593.9,1463738.72,3153.14,0.409090909
Urad,2019,Winter,38948.0,15020,1593.9,6689708.48,14410.76,0.373076923
Wheat,2019,Summer,118.0,164,1593.9,20267.68,43.66,1.495
Bajra,2004,Kharif,3155.0,1609,1290.4,341812.7,662.55,0.499230769
Castor seed,2004,Kharif,11117.0,5670,1290.4,1204415.78,2334.57,0.461071429
Castor seed,2004,Rabi,6956.0,3510,1290.4,753613.04,1460.76,0.446666667
Coriander,2004,Whole Year,19060.0,9107,1290.4,2064960.4,4002.6,0.482333333
Dry chillies,2004,Whole Year,76113.0,63240,1290.4,8246082.42,15983.73,0.830666667
Garlic,2004,Whole Year,11044.0,34918,1290.4,1196506.96,2319.24,3.158
Ginger,2004,Kharif,15674.0,30368,1290.4,1698121.16,3291.54,1.825666667
Gram,2004,Rabi,31811.0,19941,1290.4,3446403.74,6680.31,0.536
Groundnut,2004,Autumn,30494.0,25117,1290.4,3303719.96,6403.74,0.715769231
Groundnut,2004,Summer,54029.0,74074,1290.4,5853501.86,11346.09,1.136551724
Groundnut,2004,Winter,3187.0,3522,1290.4,345279.58,669.27,1.036842105
Horse-gram,2004,Summer,240.0,62,1290.4,26001.6,50.4,0.21
Horse-gram,2004,Winter,78105.0,20792,1290.4,8461895.7,16402.05,0.301666667
Jowar,2004,Kharif,10071.0,5451,1290.4,1091092.14,2114.91,0.5245
Jute,2004,Autumn,2520.0,24728,1290.4,273016.8,529.2,8.1725
Linseed,2004,Rabi,22376.0,8529,1290.4,2424215.84,4698.96,0.355625
Maize,2004,Autumn,58692.0,94954,1290.4,6358691.28,12325.32,1.0572
Maize,2004,Summer,2071.0,4226,1290.4,224372.14,434.91,1.267727273
Maize,2004,Winter,1575.0,3107,1290.4,170635.5,330.75,1.461538462
Masoor,2004,Rabi,10400.0,4130,1290.4,1126736.0,2184.0,0.393333333
Moong(Green Gram),2004,Autumn,18750.0,4373,1290.4,2031375.0,3937.5,0.171176471
Moong(Green Gram),2004,Summer,111395.0,35257,1290.4,12068534.3,23392.95,0.275
Moong(Green Gram),2004,Winter,82486.0,16515,1290.4,8936533.24,17322.06,0.196666667
Niger seed,2004,Rabi,123617.0,33969,1290.4,13392665.78,25959.57,0.31
Onion,2004,Whole Year,26684.0,241852,1290.4,2890944.56,5603.64,8.963333333
Other  Rabi pulses,2004,Rabi,41790.0,25599,1290.4,4527528.6,8775.9,0.598666667
Potato,2004,Winter,8506.0,80770,1290.4,921540.04,1786.26,8.655
Ragi,2004,Autumn,24161.0,15814,1290.4,2617602.74,5073.81,0.548571429
Ragi,2004,Summer,261.0,213,1290.4,28276.74,54.81,0.802
Ragi,2004,Winter,39385.0,24820,1290.4,4266970.9,8270.85,0.472142857
Rapeseed &Mustard,2004,Winter,15863.0,3029,1290.4,1718597.42,3331.23,0.159
Rice,2004,Autumn,824000.0,677000,1290.4,89272160.0,173040.0,0.98
Rice,2004,Summer,293000.0,652000,1290.4,31743620.0,61530.0,1.938148148
Rice,2004,Winter,3375000.0,5207000,1290.4,365647500.0,708750.0,1.511333333
